text,hypothesis,majority_label
in china,", china 's",entailment
and federal,state and,other-related
show,publish,entailment
's governor,governor of,equivalence
benefit,ways,independent
father,help,other-related
black,table,independent
little,not,independent
mr.,representative,independent
china 's,china is,equivalence
young,young people,entailment
floor,carpet,entailment
10th,viii,alternation
hand,store,independent
basket,bucket,alternation
education,political,other-related
happily,happy,equivalence
child,face,other-related
arm,land,independent
the protection,to protect,equivalence
un should,unite nation should,other-related
beach,the dune,entailment
kid is,little kid,entailment
english,public,independent
parliament 's,in parliament,entailment
medicine,antibiotic,entailment
die in,the death,other-related
die,lose,other-related
world,paris,entailment
last,national,independent
are poorly,very few,independent
bicycle,parking,other-related
the country,ukraine,entailment
european,more,independent
traffic,vehicle,other-related
in oil,in oil price,entailment
international,international community,entailment
house,mother,independent
is,talks,independent
hand,male,entailment
unit,subsidiary,entailment
is the,was among the,independent
team,time,independent
take to,was rushed to,entailment
drop,plan,independent
the building,weather,independent
construction of,project is,other-related
arrive,take,independent
blue,young,independent
foreign,union,independent
way,woman,independent
sentence to,up to,independent
line,power line,alternation
result,share,independent
people,the life,independent
was injured,wound,entailment
beginning of the,mark the beginning,equivalence
indoors,outdoors,alternation
arab,arabia,equivalence
secretary general,secretary- general,equivalence
look,sit,independent
personal,place,independent
body of,face of,entailment
election,sunday,independent
a child,small,other-related
make,table,independent
of people,a person,entailment
clear,very clear,entailment
military,troop,entailment
the fast,the good,independent
the chinese,the lunar,independent
space,the moon,entailment
jew,palestinian,alternation
currency,american,entailment
a man,man with,equivalence
he go,was,independent
basketball,court,other-related
fun,man,independent
company,family,entailment
interior,interior ministry,entailment
prize,take,independent
defense,mission,independent
army,israeli,independent
federal,agency,entailment
environment,nation environment programme,entailment
back,have,independent
be the,is the most,independent
collect,prove,independent
more,gain,entailment
first day,open day,equivalence
stand,street,independent
group of,european group,entailment
camera,take,independent
been,marry,independent
side,hillside,entailment
gather,association,entailment
ice,white,independent
area,is,independent
belong to,to track,independent
a man,done,independent
jean,john,other-related
may be,say that,independent
end,high,independent
control,environment,independent
drug,take,other-related
director,the lead,independent
in order to,to meet,independent
agency,environment,other-related
a woman,a woman 's,equivalence
group,meeting,alternation
iran 's,of iran .,equivalence
agree,common,independent
of independence,'s independence,entailment
the close,the near,equivalence
the girl is,woman is,alternation
hold,money,other-related
czech,czech republic,equivalence
crowd,group,equivalence
kill,put,independent
cat,man,independent
in global,world 's,equivalence
close to a,is near,entailment
stage,suit,independent
have,impose,independent
individual or,or more,independent
do,not,independent
world,globalization,entailment
health,plant,independent
to visit,return to,entailment
the capital,the center,other-related
jacques,president,independent
measure to,need for,independent
% in,percent .,equivalence
dead,a dead man,entailment
few,use,independent
time,day,entailment
friday,japanese,independent
africa,country,other-related
citizen,european,independent
international,canada,entailment
need,stay,independent
white and,white man,entailment
middle,middle eastern,entailment
surface,water,other-related
music,stage,other-related
conservation of the,protecting the,entailment
detailed,specific,equivalence
chile,government,independent
bomb attack,car bomb,entailment
run,the ball,other-related
reveal,prove,entailment
red,round,independent
indian,ocean,other-related
associate,robert,independent
the bottom of,the top of,alternation
chechen,russian,independent
the party,democrat,entailment
presidential,the president,entailment
have,say,independent
die,have lose,other-related
fund,keep,independent
player,runner,other-related
develop,produce,equivalence
"bank ,",world bank is,entailment
company,state,independent
athens,the game,independent
dog,doll,independent
hope,quest,independent
political,official,entailment
annual,spending,other-related
body,coastguard,independent
beach,hill,independent
lie,ride,independent
european,parliament,independent
"initiative ,",measure to,independent
persons were injured,were wounded,equivalence
make,to speak,independent
activity .,development .,other-related
member,unite,independent
wall,fence,entailment
furniture,couch,entailment
carry,follow,independent
new,up,independent
the czech,the czech republic,entailment
title,league,entailment
south,south africa,entailment
track,walk,other-related
hold in,meeting,independent
suit and,wear a,other-related
core,eu,independent
acquire,agree,independent
they are in,women are,independent
other country,state,other-related
warning,early-warning,entailment
big,order,independent
services,works,other-related
job,sector,other-related
ever,history,independent
increase,population,independent
and is,is still,independent
a time,the first,entailment
attack a,attack on,equivalence
happy,man,independent
environment,executive,independent
japan,the first,independent
as,people,independent
tan,very,independent
presidential election,the presidential,alternation
weapon,a pistol,entailment
attack,dead,independent
force,party,independent
return,to come back,equivalence
have the,play by,independent
man,young man,entailment
accord to,show,independent
denmark,sweden,alternation
succeed,win,entailment
military,soldier,entailment
the ball,the game,other-related
initial,major,independent
lead,role,independent
