truth,hypothesis,majority_label
", china 's",in china,hyponym
and federal,state and,other-related
publish,show,hyponym
's governor,governor of,synonym
benefit,ways,independent
father,help,other-related
black,table,independent
little,not,independent
mr.,representative,independent
china 's,china is,synonym
young,young people,hypernym
carpet,floor,hyponym
10th,viii,alternation
hand,store,independent
basket,bucket,alternation
education,political,other-related
happily,happy,synonym
child,face,other-related
arm,land,independent
the protection,to protect,synonym
un should,unite nation should,other-related
beach,the dune,hypernym
kid is,little kid,hypernym
english,public,independent
in parliament,parliament 's,hyponym
antibiotic,medicine,hyponym
die in,the death,other-related
die,lose,other-related
paris,world,hyponym
last,national,independent
are poorly,very few,independent
bicycle,parking,other-related
the country,ukraine,hypernym
european,more,independent
traffic,vehicle,other-related
in oil,in oil price,hypernym
international,international community,hypernym
house,mother,independent
is,talks,independent
hand,male,hypernym
subsidiary,unit,hyponym
is the,was among the,independent
team,time,independent
take to,was rushed to,hypernym
drop,plan,independent
the building,weather,independent
construction of,project is,other-related
arrive,take,independent
blue,young,independent
foreign,union,independent
way,woman,independent
sentence to,up to,independent
line,power line,alternation
result,share,independent
people,the life,independent
was injured,wound,hypernym
beginning of the,mark the beginning,synonym
indoors,outdoors,antonym
arab,arabia,synonym
secretary general,secretary- general,synonym
look,sit,independent
personal,place,independent
body of,face of,hypernym
election,sunday,independent
a child,small,other-related
make,table,independent
a person,of people,hyponym
clear,very clear,hypernym
military,troop,hypernym
the fast,the good,independent
the chinese,the lunar,independent
space,the moon,hypernym
jew,palestinian,alternation
american,currency,hyponym
a man,man with,synonym
he go,was,independent
basketball,court,other-related
fun,man,independent
company,family,hypernym
interior,interior ministry,hypernym
prize,take,independent
defense,mission,independent
army,israeli,independent
agency,federal,hyponym
environment,nation environment programme,hypernym
back,have,independent
be the,is the most,independent
collect,prove,independent
gain,more,hyponym
first day,open day,synonym
stand,street,independent
european group,group of,hyponym
camera,take,independent
been,marry,independent
hillside,side,hyponym
association,gather,hyponym
ice,white,independent
area,is,independent
belong to,to track,independent
a man,done,independent
jean,john,other-related
may be,say that,independent
end,high,independent
control,environment,independent
drug,take,other-related
director,the lead,independent
in order to,to meet,independent
agency,environment,other-related
a woman,a woman 's,synonym
group,meeting,alternation
iran 's,of iran .,synonym
agree,common,independent
's independence,of independence,hyponym
the close,the near,synonym
the girl is,woman is,alternation
hold,money,other-related
czech,czech republic,synonym
crowd,group,synonym
kill,put,independent
cat,man,independent
in global,world 's,synonym
close to a,is near,hypernym
stage,suit,independent
have,impose,independent
individual or,or more,independent
do,not,independent
globalization,world,hyponym
health,plant,independent
return to,to visit,hyponym
the capital,the center,other-related
jacques,president,independent
measure to,need for,independent
% in,percent .,synonym
a dead man,dead,hyponym
few,use,independent
day,time,hyponym
friday,japanese,independent
africa,country,other-related
citizen,european,independent
canada,international,hyponym
need,stay,independent
white and,white man,hypernym
middle,middle eastern,hypernym
surface,water,other-related
music,stage,other-related
conservation of the,protecting the,hypernym
detailed,specific,synonym
chile,government,independent
bomb attack,car bomb,hypernym
run,the ball,other-related
prove,reveal,hyponym
red,round,independent
indian,ocean,other-related
associate,robert,independent
the bottom of,the top of,antonym
chechen,russian,independent
democrat,the party,hyponym
presidential,the president,hypernym
have,say,independent
die,have lose,other-related
fund,keep,independent
player,runner,other-related
develop,produce,synonym
"bank ,",world bank is,hypernym
company,state,independent
athens,the game,independent
dog,doll,independent
hope,quest,independent
official,political,hyponym
annual,spending,other-related
body,coastguard,independent
beach,hill,independent
lie,ride,independent
european,parliament,independent
"initiative ,",measure to,independent
persons were injured,were wounded,synonym
make,to speak,independent
activity .,development .,other-related
member,unite,independent
fence,wall,hyponym
couch,furniture,hyponym
carry,follow,independent
new,up,independent
the czech,the czech republic,hypernym
league,title,hyponym
south,south africa,hypernym
track,walk,other-related
hold in,meeting,independent
suit and,wear a,other-related
core,eu,independent
acquire,agree,independent
they are in,women are,independent
other country,state,other-related
early-warning,warning,hyponym
big,order,independent
services,works,other-related
job,sector,other-related
ever,history,independent
increase,population,independent
and is,is still,independent
a time,the first,hypernym
attack a,attack on,synonym
happy,man,independent
environment,executive,independent
japan,the first,independent
as,people,independent
tan,very,independent
presidential election,the presidential,alternation
a pistol,weapon,hyponym
attack,dead,independent
force,party,independent
return,to come back,synonym
have the,play by,independent
man,young man,hypernym
accord to,show,independent
denmark,sweden,alternation
succeed,win,hypernym
military,soldier,hypernym
the ball,the game,other-related
initial,major,independent
lead,role,independent
construction,infrastructure,other-related
dollar,yuan,alternation
sand,the beach,hyponym
and apply,and is,independent
commission,lead,independent
is fighting,war against,hypernym
first,republic,independent
one,refinery,independent
close together,together,hyponym
mixture,shirt,independent
peace,south,independent
carry out,oppose,independent
publication,time,independent
analyze,be,independent
other,paul,independent
palestinian,people,hyponym
always,father,independent
a second,once,other-related
assassin of,was killed,independent
a young girl,young man,antonym
", was",a former,other-related
chief justice,judge 's,hyponym
case,federal,other-related
airline,an airline,synonym
church,roman,hypernym
security,western,independent
quickly,very fast,synonym
"man ,",of people,hyponym
bookselling,bookshop,other-related
as prime,prime minister of,other-related
government,quality,independent
candidate,winner,hypernym
death,the imposition,independent
do,party,independent
center,hub,synonym
enter,launch,independent
comment,council,independent
part,west,hypernym
the book,the world,alternation
colombia,pastrana,hypernym
set up,start,synonym
country,state,other-related
dollar,years,independent
", palestinian",gaza strip,other-related
capture,win,hyponym
arms,nuclear,hyponym
man,take,independent
iraq,reconstruction,other-related
be possible,may not be,antonym
british,european,hyponym
accession,action,independent
bike,rider,other-related
fine,gain,independent
a woman,mother,hypernym
operation,protection,independent
die,gone,alternation
his career,his lifetime,hyponym
centre,here,independent
motorcycle,the vehicle,hyponym
man,patient,hypernym
member state .,"state ,",hyponym
hussein,saddam,other-related
bank,u.s.,independent
a higher,more,independent
interior,ministry,independent
child in,the boy,hypernym
more than,run out of,antonym
equipment,use,other-related
block,break,independent
other,red,independent
oil,petroleum,hypernym
lay,wear,independent
part of,the past,independent
agenda,show,independent
minister,monday,independent
